HCPC,ProcGRP,csc,atg,atg_priority,procgrp_intensity,hcpcs_intensity,imputed_rel_wgt,status_ind,procgrp_ver,release
"0015F","4445",OTHER,OTHER,9,0,0,0,E,2016,2
"00160","0125",ANESTHESIA,ANESTHESIA,9,0,0.0539,0,N,2016,2
"00162","0125",ANESTHESIA,ANESTHESIA,9,0,0.1037,0,N,2016,2
"00164","0125",ANESTHESIA,ANESTHESIA,9,0,0.0499,0,N,2016,2
"0016T","3850",OPHTHAL,SURG MINOR,3,6.306285989,584980,5.8498,T,2016,2
"00170","0125",ANESTHESIA,ANESTHESIA,9,0,0.0434,0,N,2016,2
"00172","0125",ANESTHESIA,ANESTHESIA,9,0,0.1269,0,N,2016,2
"00174","0125",ANESTHESIA,ANESTHESIA,9,0,0.0234,0,N,2016,2
"00176","0125",ANESTHESIA,ANESTHESIA,9,0,0.0548,0,C,2016,2
"0017T","3850",OPHTHAL,SURG MINOR,3,6.306285989,584980,5.8498,T,2016,2
"0018T","3850",OPHTHAL,SURG MINOR,3,6.306285989,60250,0.6025,S,2016,2
"00190","0125",ANESTHESIA,ANESTHESIA,9,0,0.0552,0,N,2016,2
"00192","0125",ANESTHESIA,ANESTHESIA,9,0,0.0949,0,C,2016,2
"0019T","3285",ORTHO,MEDIC THER,5,5.507540045,712320.0703,7.1232,A,2016,2
"0020T","3285",ORTHO,MEDIC THER,5,5.507540045,0,0,B,2016,2
"00210","0125",ANESTHESIA,ANESTHESIA,9,0,0.1002,0,N,2016,2
"00211","0125",ANESTHESIA,ANESTHESIA,9,0,0,0,C,2016,2
"00212","0125",ANESTHESIA,ANESTHESIA,9,0,0,0,N,2016,2
"00214","0125",ANESTHESIA,ANESTHESIA,9,0,0.017,0,C,2016,2
"00215","0125",ANESTHESIA,ANESTHESIA,9,0,0,0,C,2016,2
"00216","0125",ANESTHESIA,ANESTHESIA,9,0,0.2113,0,N,2016,2
"00218","0125",ANESTHESIA,ANESTHESIA,9,0,0.0817,0,N,2016,2
"0021T","1590",OB/GYN,DELIVERY,4,0.364322382,0,0,C,2016,2
"00220","0125",ANESTHESIA,ANESTHESIA,9,0,0.0092,0,N,2016,2
"00222","0125",ANESTHESIA,ANESTHESIA,9,0,0,0,N,2016,2
"0023T","2210",LABS,LABS,6,0.212456384,0,0,A,2016,2
"0024T","3275",MISC,MEDIC THER,5,4.023708969,0,0,C,2016,2
"0025T","2985",OPHTHAL,MEDIC THER,5,0.933346055,0,0,,2016,2
"0026T","2210",LABS,LABS,6,0.212456384,0,0,A,2016,2
"0027T","2520",PAIN MGMT,SURG MINOR,3,11.15019118,1805180,18.0518,T,2016,2
"0028T","1130",DIAG RAD,RAD DIAG,5,1.323321059,0,0,N,2016,2
"0029T","3250",GASTRO,MEDIC THER,5,6.677988616,0,0,A,2016,2
"00300","0165",ANESTHESIA,ANESTHESIA,9,0,0.057,0,N,2016,2
"0030T","2270",LABS,LABS,6,0.138121193,0,0,A,2016,2
"0031T","3165",LABS,LABS,6,0.014898177,0,0,N,2016,2
"00320","0165",ANESTHESIA,ANESTHESIA,9,0,0.0673,0,N,2016,2
"00322","0165",ANESTHESIA,ANESTHESIA,9,0,0.0163,0,N,2016,2
"00326","0165",ANESTHESIA,ANESTHESIA,9,0,0.1074,0,N,2016,2
"0032T","4815",OB/GYN,SURG MINOR,3,2.972557984,0,0,N,2016,2
"0033T","4120",VASCULAR,INPATIENT,1,49.65932805,0,0,C,2016,2
"0034T","4120",VASCULAR,INPATIENT,1,49.65932805,0,0,C,2016,2
"00350","0165",ANESTHESIA,ANESTHESIA,9,0,0.1321,0,N,2016,2
"00352","0165",ANESTHESIA,ANESTHESIA,9,0,0.0588,0,N,2016,2
"0035T","4120",VASCULAR,INPATIENT,1,49.65932805,0,0,C,2016,2
"0036T","4125",VASCULAR,ADDITIONAL,9,8.123297413,0,0,C,2016,2
"0037T","4120",VASCULAR,INPATIENT,1,49.65932805,0,0,C,2016,2
"0038T","4120",VASCULAR,INPATIENT,1,49.65932805,0,0,C,2016,2
"0039T","4120",VASCULAR,INPATIENT,1,49.65932805,0,0,C,2016,2
"00400","0200",ANESTHESIA,ANESTHESIA,9,0,0.0358,0,N,2016,2
"00402","0200",ANESTHESIA,ANESTHESIA,9,0,0.0854,0,N,2016,2
"00404","0200",ANESTHESIA,ANESTHESIA,9,0,0.0815,0,N,2016,2
"00406","0200",ANESTHESIA,ANESTHESIA,9,0,0,0,N,2016,2
"0040T","4120",VASCULAR,INPATIENT,1,49.65932805,0,0,C,2016,2
"00410","0200",ANESTHESIA,ANESTHESIA,9,0,0.0354,0,N,2016,2
"0041T","2345",LABS,LABS,6,0.052929485,0,0,A,2016,2
"0042T","0740",CT SCAN,IMAGE MAJOR,2,1.72090173,0.0864,0,N,2016,2
"0043T","2210",LABS,LABS,6,0.212456384,0,0,A,2016,2
"0044T","4890",DERMATOLOGY,RAD DIAG,5,0,0,0,N,2016,2
"00450","0200",ANESTHESIA,ANESTHESIA,9,0,0.0852,0,N,2016,2
"00452","0200",ANESTHESIA,ANESTHESIA,9,0,0,0,C,2016,2
"00454","0200",ANESTHESIA,ANESTHESIA,9,0,0.0407,0,N,2016,2
"0045T","1810",DIAG RAD,IMAGE MAJOR,2,1.601458563,0,0,N,2016,2
"0046T","0655",GEN SURG,SURG MAJOR,1,29.20585766,1610010,16.1001,T,2016,2
"00470","0200",ANESTHESIA,ANESTHESIA,9,0,0.0271,0,N,2016,2
"00472","0200",ANESTHESIA,ANESTHESIA,9,0,0,0,N,2016,2
"00474","0200",ANESTHESIA,ANESTHESIA,9,0,0,0,C,2016,2
"0047T","0660",GEN SURG,ADDITIONAL,9,0.007823178,1610010,16.1001,T,2016,2
"0048T","2600",CARDIOLOGY,INPATIENT,1,0,0,0,C,2016,2
"0049T","2605",CARDIOLOGY,ADDITIONAL,9,0,0,0,C,2016,2
"00500","0135",ANESTHESIA,ANESTHESIA,9,0,0.1154,0,N,2016,2
"0050T","2600",CARDIOLOGY,INPATIENT,1,0,0,0,C,2016,2
"0051T","2600",CARDIOLOGY,INPATIENT,1,0,0,0,C,2016,2
"00520","0135",ANESTHESIA,ANESTHESIA,9,0,0.0671,0,N,2016,2
"00522","0135",ANESTHESIA,ANESTHESIA,9,0,0.0464,0,N,2016,2
"00524","0135",ANESTHESIA,ANESTHESIA,9,0,0.0448,0,C,2016,2
"00528","0135",ANESTHESIA,ANESTHESIA,9,0,0.0889,0,N,2016,2
"00529","0135",ANESTHESIA,ANESTHESIA,9,0,0.1176,0,N,2016,2
"0052T","2600",CARDIOLOGY,INPATIENT,1,0,0,0,C,2016,2
"00530","0135",ANESTHESIA,ANESTHESIA,9,0,0.0704,0,N,2016,2
"00532","0135",ANESTHESIA,ANESTHESIA,9,0,0.0484,0,N,2016,2
"00534","0135",ANESTHESIA,ANESTHESIA,9,0,0.0822,0,N,2016,2
"00537","0135",ANESTHESIA,ANESTHESIA,9,0,0.0706,0,N,2016,2
"00539","0135",ANESTHESIA,ANESTHESIA,9,0,0,0,N,2016,2
"0053T","2600",CARDIOLOGY,INPATIENT,1,0,0,0,C,2016,2
"00540","0135",ANESTHESIA,ANESTHESIA,9,0,0.1206,0,C,2016,2
"00541","0135",ANESTHESIA,ANESTHESIA,9,0,0.1509,0,N,2016,2
"00542","0135",ANESTHESIA,ANESTHESIA,9,0,0.1686,0,C,2016,2
"00544","0135",ANESTHESIA,ANESTHESIA,9,0,0,0,,2016,2
"00546","0135",ANESTHESIA,ANESTHESIA,9,0,0,0,C,2016,2
"00548","0135",ANESTHESIA,ANESTHESIA,9,0,0,0,N,2016,2
"0054T","3735",ORTHO,GUIDANCE,9,0,0.0359,0,N,2016,2
"00550","0135",ANESTHESIA,ANESTHESIA,9,0,0,0,N,2016,2
"0055T","3435",ORTHO,GUIDANCE,9,5.760485198,0.0432,0,N,2016,2
"00560","0130",ANESTHESIA,ANESTHESIA,9,0,0.1374,0,C,2016,2
"00561","0130",ANESTHESIA,ANESTHESIA,9,0,0.0303,0,C,2016,2
"00562","0130",ANESTHESIA,ANESTHESIA,9,0,0.26,0,C,2016,2
"00563","0130",ANESTHESIA,ANESTHESIA,9,0,0,0,N,2016,2
"00566","0130",ANESTHESIA,ANESTHESIA,9,0,0.2599,0,N,2016,2
"00567","0130",ANESTHESIA,ANESTHESIA,9,0,0.2381,0,C,2016,2
"0056T","3435",ORTHO,GUIDANCE,9,5.760485198,491380,4.9138,S,2016,2
"0057T","3080",GEN SURG,SURG MAJOR,1,60.43046549,0,0,,2016,2
"00580","0130",ANESTHESIA,ANESTHESIA,9,0,0,0,C,2016,2
"0058T","2305",LABS,LABS,6,2.401036158,138000,1.38,Q1,2016,2
"0059T","2305",LABS,LABS,6,2.401036158,247240,2.4724,X,2016,2
"00600","0195",ANESTHESIA,ANESTHESIA,9,0,0.0853,0,N,2016,2
"00604","0195",ANESTHESIA,ANESTHESIA,9,0,0,0,C,2016,2
"0060T","3980",DIAG RAD,RAD DIAG,5,0.318253375,0,0,B,2016,2
"0061T","0650",PLAST SURG,SURG MAJOR,1,64.57547106,0,0,B,2016,2
"00620","0195",ANESTHESIA,ANESTHESIA,9,0,0.0904,0,N,2016,2
"00622","0195",ANESTHESIA,ANESTHESIA,9,0,0,0,C,2016,2
"00625","0195",ANESTHESIA,ANESTHESIA,9,0,0,0,N,2016,2
"00626","0195",ANESTHESIA,ANESTHESIA,9,0,0,0,N,2016,2
"0062T","4360",ORTHO,SURG MAJOR,1,44.48346263,0,0,E,2016,2
"00630","0195",ANESTHESIA,ANESTHESIA,9,0,0.0673,0,N,2016,2
"00632","0195",ANESTHESIA,ANESTHESIA,9,0,0,0,C,2016,2
"00634","0195",ANESTHESIA,ANESTHESIA,9,0,0,0,N,2016,2
"00635","0195",ANESTHESIA,ANESTHESIA,9,0,0.0386,0,N,2016,2
"0063T","4355",ORTHO,ADDITIONAL,9,8.908909331,0,0,E,2016,2
"00640","0195",ANESTHESIA,ANESTHESIA,9,0,0.0453,0,N,2016,2
"0064T","3960",PULMONARY,MEDIC DIAG,5,2.179216987,56270,0.5627,X,2016,2
"0065T","4760",MISC,MEDIC THER,5,58.09693999,0,0,E,2016,2
"0066T","0730",CT SCAN,IMAGE MAJOR,2,1.641516384,0,0,E,2016,2
"00670","0195",ANESTHESIA,ANESTHESIA,9,0,0.2028,0,C,2016,2
"0067T","0730",CT SCAN,IMAGE MAJOR,2,1.641516384,294260,2.9426,Q3,2016,2
"0068T","3280",MISC,ADDITIONAL,9,0.42078,0,0,B,2016,2
"0069T","3280",MISC,ADDITIONAL,9,0.42078,0,0,N,2016,2
"00700","0205",ANESTHESIA,ANESTHESIA,9,0,0.0448,0,N,2016,2
"00702","0205",ANESTHESIA,ANESTHESIA,9,0,0.0424,0,N,2016,2
"0070T","3280",MISC,ADDITIONAL,9,0.42078,0,0,B,2016,2
"0071T","3090",OB/GYN,SURG MAJOR,1,66.36267091,2524000,25.24,T,2016,2
"0072T","3090",OB/GYN,SURG MAJOR,1,66.36267091,2524000,25.24,T,2016,2
"00730","0205",ANESTHESIA,ANESTHESIA,9,0,0.0558,0,N,2016,2
"0073T","4000",RAD THER,MEDIC THER,5,2.627006636,1151950.11,11.5195,S,2016,2
"00740","0205",ANESTHESIA,ANESTHESIA,9,0,0.046,0,N,2016,2
"0074T","1450",MEDICINE,VISIT/CONS,4,1.3823694,0,0,E,2016,2
"00750","0205",ANESTHESIA,ANESTHESIA,9,0,0.0481,0,N,2016,2
"00752","0205",ANESTHESIA,ANESTHESIA,9,0,0.0969,0,N,2016,2
"00754","0205",ANESTHESIA,ANESTHESIA,9,0,0,0,N,2016,2
"00756","0205",ANESTHESIA,ANESTHESIA,9,0,0,0,N,2016,2
"0075T","4600",CARDIOLOGY,INVAS MAJOR,1,136.3942313,11315811.3,113.1581,C,2016,2
"0076T","4610",CARDIOLOGY,ADDITIONAL,9,28.51459679,0,0,C,2016,2
"00770","0205",ANESTHESIA,ANESTHESIA,9,0,0.1597,0,N,2016,2
"0077T","3325",NEUROSURGERY,SURG MAJOR,1,36.92467267,0,0,C,2016,2
"0078T","4120",VASCULAR,INPATIENT,1,49.65932805,0,0,C,2016,2
"00790","0205",ANESTHESIA,ANESTHESIA,9,0,0.0799,0,N,2016,2
"00792","0205",ANESTHESIA,ANESTHESIA,9,0,0.0255,0,C,2016,2
"00794","0205",ANESTHESIA,ANESTHESIA,9,0,0,0,C,2016,2
"00796","0205",ANESTHESIA,ANESTHESIA,9,0,0,0,C,2016,2
"00797","0205",ANESTHESIA,ANESTHESIA,9,0,0.1518,0,N,2016,2
"0079T","4125",VASCULAR,ADDITIONAL,9,8.123297413,0,0,C,2016,2
"00800","0145",ANESTHESIA,ANESTHESIA,9,0,0.0459,0,N,2016,2
"00802","0145",ANESTHESIA,ANESTHESIA,9,0,0.0943,0,C,2016,2
"0080T","4120",VASCULAR,INPATIENT,1,49.65932805,0,0,C,2016,2
"00810","0145",ANESTHESIA,ANESTHESIA,9,0,0.0495,0,N,2016,2
"0081T","3380",DIAG RAD,GUIDANCE,9,5.820151537,0,0,C,2016,2
"00820","0145",ANESTHESIA,ANESTHESIA,9,0,0.054,0,N,2016,2
"0082T","3995",RAD THER,MEDIC THER,5,7.193129689,0,0,B,2016,2
"00830","0145",ANESTHESIA,ANESTHESIA,9,0,0.0572,0,N,2016,2
"00832","0145",ANESTHESIA,ANESTHESIA,9,0,0.0672,0,N,2016,2
"00834","0145",ANESTHESIA,ANESTHESIA,9,0,0,0,N,2016,2
"00836","0145",ANESTHESIA,ANESTHESIA,9,0,0,0,N,2016,2
"0083T","3995",RAD THER,MEDIC THER,5,7.193129689,0,0,N,2016,2
"00840","0145",ANESTHESIA,ANESTHESIA,9,0,0.0743,0,N,2016,2
"00842","0145",ANESTHESIA,ANESTHESIA,9,0,0,0,N,2016,2
"00844","0145",ANESTHESIA,ANESTHESIA,9,0,0.0658,0,C,2016,2
"00846","0145",ANESTHESIA,ANESTHESIA,9,0,0,0,C,2016,2
"00848","0145",ANESTHESIA,ANESTHESIA,9,0,0,0,C,2016,2
"0084T","3540",UROLOGY,SURG MAJOR,1,42.13834456,186970,1.8697,T,2016,2
"00851","0205",ANESTHESIA,ANESTHESIA,9,0,0.0776,0,N,2016,2
"0085T","3275",MISC,MEDIC THER,5,4.023708969,0,0,E,2016,2
"00860","0145",ANESTHESIA,ANESTHESIA,9,0,0.07,0,N,2016,2
"00862","0145",ANESTHESIA,ANESTHESIA,9,0,0.0877,0,N,2016,2
"00864","0145",ANESTHESIA,ANESTHESIA,9,0,0,0,C,2016,2
"00865","0145",ANESTHESIA,ANESTHESIA,9,0,0.1132,0,C,2016,2
"00866","0145",ANESTHESIA,ANESTHESIA,9,0,0,0,C,2016,2
"00868","0145",ANESTHESIA,ANESTHESIA,9,0,0,0,C,2016,2
"0086T","2305",LABS,LABS,6,2.401036158,0,0,N,2016,2
"00870","0145",ANESTHESIA,ANESTHESIA,9,0,0,0,N,2016,2
"00872","0145",ANESTHESIA,ANESTHESIA,9,0,0.0711,0,N,2016,2
"00873","0145",ANESTHESIA,ANESTHESIA,9,0,0.054,0,N,2016,2
"0087T","3220",MISC,MEDIC DIAG,5,0.341474601,82230,0.8223,X,2016,2
"00880","0145",ANESTHESIA,ANESTHESIA,9,0,0.1439,0,N,2016,2
"00882","0145",ANESTHESIA,ANESTHESIA,9,0,0.1019,0,C,2016,2
"0088T","3320",ORAL SURG,SURG MINOR,3,9.565271375,1632880,16.3288,T,2016,2
"0089T","0020",DIAG RAD,MEDIC DIAG,5,1.155,115500,1.155,S,2016,2
"00902","0180",ANESTHESIA,ANESTHESIA,9,0,0.052,0,N,2016,2
"00904","0180",ANESTHESIA,ANESTHESIA,9,0,0,0,C,2016,2
"00906","0180",ANESTHESIA,ANESTHESIA,9,0,0.0485,0,N,2016,2
"00908","0180",ANESTHESIA,ANESTHESIA,9,0,0,0,C,2016,2
"0090T","1200",ORTHO,SURG MAJOR,1,134.1228353,0,0,C,2016,2
"00910","0180",ANESTHESIA,ANESTHESIA,9,0,0.0352,0,N,2016,2
"00912","0180",ANESTHESIA,ANESTHESIA,9,0,0.0521,0,N,2016,2
"00914","0180",ANESTHESIA,ANESTHESIA,9,0,0.0589,0,N,2016,2
"00916","0180",ANESTHESIA,ANESTHESIA,9,0,0.0605,0,N,2016,2
"00918","0180",ANESTHESIA,ANESTHESIA,9,0,0.0552,0,N,2016,2
"0091T","1200",ORTHO,SURG MAJOR,1,134.1228353,0,0,C,2016,2
"00920","0180",ANESTHESIA,ANESTHESIA,9,0,0.0418,0,N,2016,2
"00921","0180",ANESTHESIA,ANESTHESIA,9,0,0.0386,0,N,2016,2
"00922","0180",ANESTHESIA,ANESTHESIA,9,0,0,0,N,2016,2
"00924","0180",ANESTHESIA,ANESTHESIA,9,0,0,0,N,2016,2
"00926","0180",ANESTHESIA,ANESTHESIA,9,0,0.0946,0,N,2016,2
"00928","0180",ANESTHESIA,ANESTHESIA,9,0,0,0,N,2016,2
"0092T","1205",ORTHO,ADDITIONAL,9,14.82649542,1433920,14.3392,C,2016,2
"00930","0180",ANESTHESIA,ANESTHESIA,9,0,0.065,0,N,2016,2
"00932","0180",ANESTHESIA,ANESTHESIA,9,0,0,0,C,2016,2
"00934","0180",ANESTHESIA,ANESTHESIA,9,0,0,0,C,2016,2
"00936","0180",ANESTHESIA,ANESTHESIA,9,0,0,0,C,2016,2
"00938","0180",ANESTHESIA,ANESTHESIA,9,0,0.0627,0,N,2016,2
"0093T","1200",ORTHO,SURG MAJOR,1,134.1228353,0,0,C,2016,2
"00940","0180",ANESTHESIA,ANESTHESIA,9,0,0.0455,0,N,2016,2
"00942","0180",ANESTHESIA,ANESTHESIA,9,0,0.0583,0,N,2016,2
"00944","0180",ANESTHESIA,ANESTHESIA,9,0,0.0613,0,C,2016,2
"00948","0180",ANESTHESIA,ANESTHESIA,9,0,0.1015,0,N,2016,2
"0094T","1200",ORTHO,SURG MAJOR,1,134.1228353,0,0,C,2016,2
"00950","0180",ANESTHESIA,ANESTHESIA,9,0,0.0576,0,N,2016,2
"00952","0180",ANESTHESIA,ANESTHESIA,9,0,0.0456,0,N,2016,2
"0095T","1205",ORTHO,ADDITIONAL,9,14.82649542,0,0,C,2016,2
"0096T","1200",ORTHO,SURG MAJOR,1,134.1228353,0,0,C,2016,2
"0097T","1200",ORTHO,SURG MAJOR,1,134.1228353,0,0,C,2016,2
"0098T","1205",ORTHO,ADDITIONAL,9,14.82649542,0,0,C,2016,2
"0099T","3455",OPHTHAL,SURG MAJOR,1,21.32770125,2362880.46,23.6288,T,2016,2
"0100T","3455",OPHTHAL,SURG MAJOR,1,21.32770125,128848970,1288.4897,T,2016,2
"0101T","3275",MISC,MEDIC THER,5,4.023708969,1973000.093,19.73,T,2016,2
"0102T","3275",MISC,MEDIC THER,5,4.023708969,3249000,32.49,T,2016,2
"0103T","3220",MISC,MEDIC DIAG,5,0.341474601,124190,1.2419,A,2016,2
"0104T","3220",MISC,MEDIC DIAG,5,0.341474601,0,0,A,2016,2
"0105T","3220",MISC,MEDIC DIAG,5,0.341474601,0,0,A,2016,2
"0106T","3220",MISC,MEDIC DIAG,5,0.341474601,41000.0553,0.41,Q1,2016,2
"0107T","3220",MISC,MEDIC DIAG,5,0.341474601,41000.0337,0.41,Q1,2016,2
"0108T","3220",MISC,MEDIC DIAG,5,0.341474601,75000.0086,0.75,Q1,2016,2
"0109T","3220",MISC,MEDIC DIAG,5,0.341474601,41000.0087,0.41,Q1,2016,2
"0110T","3220",MISC,MEDIC DIAG,5,0.341474601,123000,1.23,Q1,2016,2
"01112","0120",ANESTHESIA,ANESTHESIA,9,0,0.0463,0,N,2016,2
"0111T","3220",MISC,MEDIC DIAG,5,0.341474601,96570.008,0.9657,A,2016,2
"01120","0175",ANESTHESIA,ANESTHESIA,9,0,0.0579,0,N,2016,2
"01130","0175",ANESTHESIA,ANESTHESIA,9,0,0,0,N,2016,2
"01140","0175",ANESTHESIA,ANESTHESIA,9,0,0,0,C,2016,2
"01150","0175",ANESTHESIA,ANESTHESIA,9,0,0,0,C,2016,2
"0115T","3300",MISC,MEDIC THER,5,2.935433448,0,0,E,2016,2
"01160","0175",ANESTHESIA,ANESTHESIA,9,0,0.0457,0,N,2016,2
"0116T","3300",MISC,MEDIC THER,5,2.935433448,0,0,E,2016,2
"01170","0175",ANESTHESIA,ANESTHESIA,9,0,0.0683,0,N,2016,2
"01173","0175",ANESTHESIA,ANESTHESIA,9,0,0,0,N,2016,2
"0117T","3305",MISC,ADDITIONAL,9,0,0,0,E,2016,2
"01180","0175",ANESTHESIA,ANESTHESIA,9,0,0,0,N,2016,2
"01190","0175",ANESTHESIA,ANESTHESIA,9,0,0,0,N,2016,2
"01200","0215",ANESTHESIA,ANESTHESIA,9,0,0.0328,0,N,2016,2
"01202","0215",ANESTHESIA,ANESTHESIA,9,0,0.0937,0,N,2016,2
"0120T","3070",GEN SURG,SURG MAJOR,1,31.4826,3148260,31.4826,T,2016,2
"01210","0215",ANESTHESIA,ANESTHESIA,9,0,0.0561,0,N,2016,2
"01212","0215",ANESTHESIA,ANESTHESIA,9,0,0,0,C,2016,2
"01214","0215",ANESTHESIA,ANESTHESIA,9,0,0.1095,0,C,2016,2
"01215","0215",ANESTHESIA,ANESTHESIA,9,0,0,0,N,2016,2
"01220","0215",ANESTHESIA,ANESTHESIA,9,0,0.0497,0,N,2016,2
"01230","0215",ANESTHESIA,ANESTHESIA,9,0,0.0769,0,N,2016,2
"01232","0215",ANESTHESIA,ANESTHESIA,9,0,0.0735,0,C,2016,2
"01234","0215",ANESTHESIA,ANESTHESIA,9,0,0.1189,0,C,2016,2
"0123T","3455",OPHTHAL,SURG MAJOR,1,21.32770125,2362880,23.6288,T,2016,2
"0124T","3455",OPHTHAL,SURG MAJOR,1,21.32770125,203040,2.0304,T,2016,2
"01250","0215",ANESTHESIA,ANESTHESIA,9,0,0.0424,0,N,2016,2
"01260","0215",ANESTHESIA,ANESTHESIA,9,0,0.0425,0,N,2016,2
"0126T","4730",GEN SURG,RAD DIAG,5,1.240670684,41000.0003,0.41,Q1,2016,2
"01270","0215",ANESTHESIA,ANESTHESIA,9,0,0.0873,0,N,2016,2
"01272","0215",ANESTHESIA,ANESTHESIA,9,0,0,0,C,2016,2
"01274","0215",ANESTHESIA,ANESTHESIA,9,0,0,0,C,2016,2
"0130T","3300",MISC,MEDIC THER,5,2.935433448,0,0,B,2016,2
"01320","0140",ANESTHESIA,ANESTHESIA,9,0,0.0316,0,N,2016,2
"0133T","4680",GASTRO,INVAS MAJOR,1,23.6901,2369010,23.6901,T,2016,2
"01340","0140",ANESTHESIA,ANESTHESIA,9,0,0,0,N,2016,2
"0135T","3160",UROLOGY,SURG MAJOR,1,73.45157006,3736040,37.3604,T,2016,2
"01360","0140",ANESTHESIA,ANESTHESIA,9,0,0.0706,0,N,2016,2
"0137T","0535",UROLOGY,INVAS MINOR,3,20.42997676,1103380,11.0338,T,2016,2
"01380","0140",ANESTHESIA,ANESTHESIA,9,0,0.0266,0,N,2016,2
"01382","0140",ANESTHESIA,ANESTHESIA,9,0,0.0509,0,N,2016,2
"01390","0140",ANESTHESIA,ANESTHESIA,9,0,0.0664,0,N,2016,2
"01392","0140",ANESTHESIA,ANESTHESIA,9,0,0.0514,0,N,2016,2
"01400","0140",ANESTHESIA,ANESTHESIA,9,0,0.0512,0,N,2016,2
"01402","0140",ANESTHESIA,ANESTHESIA,9,0,0.0985,0,C,2016,2
"01404","0140",ANESTHESIA,ANESTHESIA,9,0,0,0,C,2016,2
"0140T","3220",MISC,MEDIC DIAG,5,0.341474601,0,0,A,2016,2
"0141T","3420",GEN SURG,SURG MAJOR,1,45.31887259,0,0,E,2016,2
"01420","0140",ANESTHESIA,ANESTHESIA,9,0,0,0,N,2016,2
"0142T","3420",GEN SURG,SURG MAJOR,1,45.31887259,0,0,E,2016,2
