ndc,therClassCode,Inttherclass,therDesc,gcrTitles,genindDesc,roa,cyle,Active
"51991062010",1006010010,262,Anastrozole,ANASTROZOLE,Multisource generic,PO,,
"51991062033",1006010010,262,Anastrozole,ANASTROZOLE,Multisource generic,PO,,
"54569573100",1006010010,262,Anastrozole,ANASTROZOLE,"Multisource brand, generic",PO,,
"54569619800",1006010010,262,Anastrozole,ANASTROZOLE,Multisource generic,PO,,
"54868500000",1006010010,262,Anastrozole,ANASTROZOLE,"Multisource brand, generic",PO,,
"54868613000",1006010010,262,Anastrozole,ANASTROZOLE,Multisource generic,PO,,
"54868613001",1006010010,262,Anastrozole,ANASTROZOLE,Multisource generic,PO,,
"55111064730",1006010010,262,Anastrozole,ANASTROZOLE,Multisource generic,PO,,
"55175550503",1006010010,262,Anastrozole,ANASTROZOLE,"Multisource brand, generic",PO,,
"60258086603",1006010010,262,Anastrozole,ANASTROZOLE,Multisource generic,PO,,
"60429028630",1006010010,262,Anastrozole,ANASTROZOLE,Multisource generic,PO,,
"60429028690",1006010010,262,Anastrozole,ANASTROZOLE,Multisource generic,PO,,
"60505298503",1006010010,262,Anastrozole,ANASTROZOLE,Multisource generic,PO,,
"62033037606",1006010010,262,Anastrozole,ANASTROZOLE,Multisource generic,PO,,
"62756025013",1006010010,262,Anastrozole,ANASTROZOLE,Multisource generic,PO,,
"62756025083",1006010010,262,Anastrozole,ANASTROZOLE,Multisource generic,PO,,
"63323012930",1006010010,262,Anastrozole,ANASTROZOLE,Multisource generic,PO,,
"66336053330",1006010010,262,Anastrozole,ANASTROZOLE,Multisource generic,PO,,
"66336053390",1006010010,262,Anastrozole,ANASTROZOLE,Multisource generic,PO,,
"66435041530",1006010010,262,Anastrozole,ANASTROZOLE,Multisource generic,PO,,
"67877017110",1006010010,262,Anastrozole,ANASTROZOLE,Multisource generic,PO,,
"67877017130",1006010010,262,Anastrozole,ANASTROZOLE,Multisource generic,PO,,
"68001015504",1006010010,262,Anastrozole,ANASTROZOLE,Multisource generic,PO,,
"68001015508",1006010010,262,Anastrozole,ANASTROZOLE,Multisource generic,PO,,
"68084044821",1006010010,262,Anastrozole,ANASTROZOLE,Multisource generic,PO,,
"68382020906",1006010010,262,Anastrozole,ANASTROZOLE,Multisource generic,PO,,
"68382020910",1006010010,262,Anastrozole,ANASTROZOLE,Multisource generic,PO,,
"00069014501",1010100030,263,Axitinib,Axitinib,Single source brand,PO,,
"00069015111",1010100030,263,Axitinib,Axitinib,Single source brand,PO,,
"00187552675",1005010030,261,Bexarotene,BEXAROTENE,Single source brand,PO,,
"62856060210",1005010030,261,Bexarotene,BEXAROTENE,Single source brand,PO,,
"64365050201",1005010030,261,Bexarotene,BEXAROTENE,Single source brand,PO,,
"00093022001",1006010015,262,Bicalutamide,BICALUTAMIDE,Multisource generic,PO,,
"00093022056",1006010015,262,Bicalutamide,BICALUTAMIDE,Multisource generic,PO,,
"00310070510",1006010015,262,Bicalutamide,BICALUTAMIDE,"Multisource brand, generic",PO,,
"00310070530",1006010015,262,Bicalutamide,BICALUTAMIDE,"Multisource brand, generic",PO,,
"00310070539",1006010015,262,Bicalutamide,BICALUTAMIDE,"Multisource brand, generic",PO,,
"00378701705",1006010015,262,Bicalutamide,BICALUTAMIDE,Multisource generic,PO,,
"00378701793",1006010015,262,Bicalutamide,BICALUTAMIDE,Multisource generic,PO,,
"00781540901",1006010015,262,Bicalutamide,BICALUTAMIDE,Multisource generic,PO,,
"00781540931",1006010015,262,Bicalutamide,BICALUTAMIDE,Multisource generic,PO,,
"00781540964",1006010015,262,Bicalutamide,BICALUTAMIDE,Multisource generic,PO,,
"00904601946",1006010015,262,Bicalutamide,BICALUTAMIDE,Multisource generic,PO,,
"00904601960",1006010015,262,Bicalutamide,BICALUTAMIDE,Multisource generic,PO,,
"16714057101",1006010015,262,Bicalutamide,BICALUTAMIDE,Multisource generic,PO,,
"16714057102",1006010015,262,Bicalutamide,BICALUTAMIDE,Multisource generic,PO,,
"16729002301",1006010015,262,Bicalutamide,BICALUTAMIDE,Multisource generic,PO,,
"16729002310",1006010015,262,Bicalutamide,BICALUTAMIDE,Multisource generic,PO,,
"41616048583",1006010015,262,Bicalutamide,BICALUTAMIDE,Multisource generic,PO,,
"41616048588",1006010015,262,Bicalutamide,BICALUTAMIDE,Multisource generic,PO,,
"42291016830",1006010015,262,Bicalutamide,BICALUTAMIDE,Multisource generic,PO,,
"42291016850",1006010015,262,Bicalutamide,BICALUTAMIDE,Multisource generic,PO,,
"51079069201",1006010015,262,Bicalutamide,BICALUTAMIDE,Multisource generic,PO,,
"51079069203",1006010015,262,Bicalutamide,BICALUTAMIDE,Multisource generic,PO,,
"51991056001",1006010015,262,Bicalutamide,BICALUTAMIDE,Multisource generic,PO,,
"52152052602",1006010015,262,Bicalutamide,BICALUTAMIDE,Multisource generic,PO,,
"52152052630",1006010015,262,Bicalutamide,BICALUTAMIDE,Multisource generic,PO,,
"54569585900",1006010015,262,Bicalutamide,BICALUTAMIDE,"Multisource brand, generic",PO,,
"54868450300",1006010015,262,Bicalutamide,BICALUTAMIDE,"Multisource brand, generic",PO,,
"54868613300",1006010015,262,Bicalutamide,BICALUTAMIDE,Multisource generic,PO,,
"60429017701",1006010015,262,Bicalutamide,BICALUTAMIDE,Multisource generic,PO,,
"60429017705",1006010015,262,Bicalutamide,BICALUTAMIDE,Multisource generic,PO,,
"60429017730",1006010015,262,Bicalutamide,BICALUTAMIDE,Multisource generic,PO,,
"60429022605",1006010015,262,Bicalutamide,BICALUTAMIDE,Multisource generic,PO,,
"60429022630",1006010015,262,Bicalutamide,BICALUTAMIDE,Multisource generic,PO,,
"60505264201",1006010015,262,Bicalutamide,BICALUTAMIDE,Multisource generic,PO,,
"60505264203",1006010015,262,Bicalutamide,BICALUTAMIDE,Multisource generic,PO,,
"62175013232",1006010015,262,Bicalutamide,BICALUTAMIDE,Multisource generic,PO,,
"66116021230",1006010015,262,Bicalutamide,BICALUTAMIDE,"Multisource brand, generic",PO,,
"67253019103",1006010015,262,Bicalutamide,BICALUTAMIDE,Multisource generic,PO,,
"67253019110",1006010015,262,Bicalutamide,BICALUTAMIDE,Multisource generic,PO,,
"68084037421",1006010015,262,Bicalutamide,BICALUTAMIDE,Multisource generic,PO,,
"68084061221",1006010015,262,Bicalutamide,BICALUTAMIDE,Multisource generic,PO,,
"68382022401",1006010015,262,Bicalutamide,BICALUTAMIDE,Multisource generic,PO,,
"68382022405",1006010015,262,Bicalutamide,BICALUTAMIDE,Multisource generic,PO,,
"68382022406",1006010015,262,Bicalutamide,BICALUTAMIDE,Multisource generic,PO,,
"68382022410",1006010015,262,Bicalutamide,BICALUTAMIDE,Multisource generic,PO,,
"00069013501",1010100060,263,Bosutinib,Bosutinib,Single source brand,PO,,
"00069013601",1010100060,263,Bosutinib,Bosutinib,Single source brand,PO,,
"42388001314",1010100070,263,Cabozantinib,Cabozantinib Malate,Single source brand,PO,,
"42388001114",1010100070,263,Cabozantinib,Cabozantinib Malate;Cabozantinib Malate,Single source brand,PO,,
"42388001214",1010100070,263,Cabozantinib,Cabozantinib Malate;Cabozantinib Malate,Single source brand,PO,,
"00078064070",1010100085,263,Ceritinib,Ceritinib,Single source brand,PO,,
"00069814020",1010100110,263,Crizotinib,Crizotinib,Single source brand,PO,,
"00069814120",1010100110,263,Crizotinib,Crizotinib,Single source brand,PO,,
"00173084608",1010100115,263,Dabrafenib,Dabrafenib Mesylate,Single source brand,PO,,
"00173084708",1010100115,263,Dabrafenib,Dabrafenib Mesylate,Single source brand,PO,,
"00003052411",1010100120,263,Dasatinib,Dasatinib,Single source brand,PO,,
"00003052711",1010100120,263,Dasatinib,Dasatinib,Single source brand,PO,,
"00003052811",1010100120,263,Dasatinib,Dasatinib,Single source brand,PO,,
"00003085222",1010100120,263,Dasatinib,Dasatinib,Single source brand,PO,,
"00003085522",1010100120,263,Dasatinib,Dasatinib,Single source brand,PO,,
"00003085722",1010100120,263,Dasatinib,Dasatinib,Single source brand,PO,,
"54868575900",1010100120,263,Dasatinib,Dasatinib,Single source brand,PO,,
"00469012599",1006010050,262,Enzalutamide,Enzalutamide,Single source brand,PO,,
"50242006201",1010100145,263,Erlotinib,Erlotinib Hydrochloride,Single source brand,PO,,
"50242006301",1010100145,263,Erlotinib,Erlotinib Hydrochloride,Single source brand,PO,,
"50242006401",1010100145,263,Erlotinib,Erlotinib Hydrochloride,Single source brand,PO,,
"54569584700",1010100145,263,Erlotinib,Erlotinib Hydrochloride,Single source brand,PO,,
"54569584800",1010100145,263,Erlotinib,Erlotinib Hydrochloride,Single source brand,PO,,
"54868529000",1010100145,263,Erlotinib,Erlotinib Hydrochloride,Single source brand,PO,,
"54868544700",1010100145,263,Erlotinib,Erlotinib Hydrochloride,Single source brand,PO,,
"54868547400",1010100145,263,Erlotinib,Erlotinib Hydrochloride,Single source brand,PO,,
"00013013202",1005010120,261,Estramustine,ESTRAMUSTINE PHOSPHATE SODIUM,Single source brand,PO,,
"54569575100",1005010120,261,Estramustine,ESTRAMUSTINE PHOSPHATE SODIUM,Single source brand,PO,,
"00078041420",1010100147,263,Everolimus,Everolimus,Single source brand,PO,,
"00078041461",1010100147,263,Everolimus,Everolimus,Single source brand,PO,,
"00078041520",1010100147,263,Everolimus,Everolimus,Single source brand,PO,,
"00078041561",1010100147,263,Everolimus,Everolimus,Single source brand,PO,,
"00078041720",1010100147,263,Everolimus,Everolimus,Single source brand,PO,,
"00078041761",1010100147,263,Everolimus,Everolimus,Single source brand,PO,,
"00078056651",1010100147,263,Everolimus,Everolimus,Single source brand,PO,,
"00078056661",1010100147,263,Everolimus,Everolimus,Single source brand,PO,,
"00078056751",1010100147,263,Everolimus,Everolimus,Single source brand,PO,,
"00078056761",1010100147,263,Everolimus,Everolimus,Single source brand,PO,,
"00078059451",1010100147,263,Everolimus,Everolimus,Single source brand,PO,,
"00078059461",1010100147,263,Everolimus,Everolimus,Single source brand,PO,,
"00078062051",1010100147,263,Everolimus,Everolimus,Single source brand,PO,,
"00078062061",1010100147,263,Everolimus,Everolimus,Single source brand,PO,,
"00078062651",1010100147,263,Everolimus,Everolimus,Single source brand,PO,,
"00078062661",1010100147,263,Everolimus,Everolimus,Single source brand,PO,,
"00078062751",1010100147,263,Everolimus,Everolimus,Single source brand,PO,,
"00078062761",1010100147,263,Everolimus,Everolimus,Single source brand,PO,,
"00078062851",1010100147,263,Everolimus,Everolimus,Single source brand,PO,,
"00078062861",1010100147,263,Everolimus,Everolimus,Single source brand,PO,,
"00009766304",1006010060,262,Exemestane,EXEMESTANE,"Multisource brand, generic",PO,,
"00054008013",1006010060,262,Exemestane,EXEMESTANE,Multisource generic,PO,,
"47781010830",1006010060,262,Exemestane,EXEMESTANE,Multisource generic,PO,,
"49999098630",1006010060,262,Exemestane,EXEMESTANE,"Multisource brand, generic",PO,,
"54569573200",1006010060,262,Exemestane,EXEMESTANE,"Multisource brand, generic",PO,,
"54868526100",1006010060,262,Exemestane,EXEMESTANE,"Multisource brand, generic",PO,,
"59762285801",1006010060,262,Exemestane,EXEMESTANE,Multisource generic,PO,,
"63629126201",1006010060,262,Exemestane,EXEMESTANE,"Multisource brand, generic",PO,,
"00085052503",1006010070,262,Flutamide,FLUTAMIDE,"Multisource brand, generic",PO,,
"00085052504",1006010070,262,Flutamide,FLUTAMIDE,"Multisource brand, generic",PO,,
"00085052505",1006010070,262,Flutamide,FLUTAMIDE,"Multisource brand, generic",PO,,
"00085052506",1006010070,262,Flutamide,FLUTAMIDE,"Multisource brand, generic",PO,,
"00093712005",1006010070,262,Flutamide,FLUTAMIDE,Multisource generic,PO,,
"00093712086",1006010070,262,Flutamide,FLUTAMIDE,Multisource generic,PO,,
"00172496058",1006010070,262,Flutamide,FLUTAMIDE,Multisource generic,PO,,
"00172496070",1006010070,262,Flutamide,FLUTAMIDE,Multisource generic,PO,,
"00185112505",1006010070,262,Flutamide,FLUTAMIDE,Multisource generic,PO,,
"00185112518",1006010070,262,Flutamide,FLUTAMIDE,Multisource generic,PO,,
"00185112588",1006010070,262,Flutamide,FLUTAMIDE,Multisource generic,PO,,
"00555087004",1006010070,262,Flutamide,FLUTAMIDE,Multisource generic,PO,,
"00555087063",1006010070,262,Flutamide,FLUTAMIDE,Multisource generic,PO,,
"00591222718",1006010070,262,Flutamide,FLUTAMIDE,Multisource generic,PO,,
"00591246618",1006010070,262,Flutamide,FLUTAMIDE,Multisource generic,PO,,
"49884075305",1006010070,262,Flutamide,FLUTAMIDE,Multisource generic,PO,,
"49884075313",1006010070,262,Flutamide,FLUTAMIDE,Multisource generic,PO,,
"54569394200",1006010070,262,Flutamide,FLUTAMIDE,"Multisource brand, generic",PO,,
"54868462800",1006010070,262,Flutamide,FLUTAMIDE,Multisource generic,PO,,
"58016017000",1006010070,262,Flutamide,FLUTAMIDE,Multisource generic,PO,,
"58016017030",1006010070,262,Flutamide,FLUTAMIDE,Multisource generic,PO,,
"58016017060",1006010070,262,Flutamide,FLUTAMIDE,Multisource generic,PO,,
"58016017090",1006010070,262,Flutamide,FLUTAMIDE,Multisource generic,PO,,
"58016017099",1006010070,262,Flutamide,FLUTAMIDE,Multisource generic,PO,,
"60429027205",1006010070,262,Flutamide,FLUTAMIDE,Multisource generic,PO,,
"60429027218",1006010070,262,Flutamide,FLUTAMIDE,Multisource generic,PO,,
"00310048230",1010100150,263,Gefitinib,Gefitinib,Single source brand,PO,,
"00003083050",1005010150,261,Hydroxyurea,HYDROXYUREA,"Multisource brand, generic",PO,,
"00003633517",1005010150,261,Hydroxyurea,HYDROXYUREA,Single source brand,PO,,
"00003633617",1005010150,261,Hydroxyurea,HYDROXYUREA,Single source brand,PO,,
"00003633717",1005010150,261,Hydroxyurea,HYDROXYUREA,Single source brand,PO,,
"00054224725",1005010150,261,Hydroxyurea,HYDROXYUREA,Multisource generic,PO,,
"00054824725",1005010150,261,Hydroxyurea,HYDROXYUREA,Multisource generic,PO,,
"00555088202",1005010150,261,Hydroxyurea,HYDROXYUREA,Multisource generic,PO,,
"00603394621",1005010150,261,Hydroxyurea,HYDROXYUREA,Multisource generic,PO,,
"00677168001",1005010150,261,Hydroxyurea,HYDROXYUREA,Multisource generic,PO,,
"00904539460",1005010150,261,Hydroxyurea,HYDROXYUREA,Multisource generic,PO,,
"42291032101",1005010150,261,Hydroxyurea,HYDROXYUREA,Multisource generic,PO,,
"49884072401",1005010150,261,Hydroxyurea,HYDROXYUREA,Multisource generic,PO,,
"51285054802",1005010150,261,Hydroxyurea,HYDROXYUREA,Multisource generic,PO,,
"54569037800",1005010150,261,Hydroxyurea,HYDROXYUREA,"Multisource brand, generic",PO,,
"54569037801",1005010150,261,Hydroxyurea,HYDROXYUREA,"Multisource brand, generic",PO,,
"54569037802",1005010150,261,Hydroxyurea,HYDROXYUREA,"Multisource brand, generic",PO,,
"54569571500",1005010150,261,Hydroxyurea,HYDROXYUREA,Multisource generic,PO,,
"54868136700",1005010150,261,Hydroxyurea,HYDROXYUREA,"Multisource brand, generic",PO,,
"54868477300",1005010150,261,Hydroxyurea,HYDROXYUREA,Multisource generic,PO,,
"54868477301",1005010150,261,Hydroxyurea,HYDROXYUREA,Multisource generic,PO,,
"54868477302",1005010150,261,Hydroxyurea,HYDROXYUREA,Multisource generic,PO,,
"54868477303",1005010150,261,Hydroxyurea,HYDROXYUREA,Multisource generic,PO,,
"57866443601",1005010150,261,Hydroxyurea,HYDROXYUREA,Multisource generic,PO,,
"58063097909",1005010150,261,Hydroxyurea,HYDROXYUREA,Single source brand,PO,,
"60429026501",1005010150,261,Hydroxyurea,HYDROXYUREA,Multisource generic,PO,,
"68084028401",1005010150,261,Hydroxyurea,HYDROXYUREA,Multisource generic,PO,,
"61958170101",1010100180,263,Idelalisib,Idelalisib,Single source brand,PO,,
"61958170201",1010100180,263,Idelalisib,Idelalisib,Single source brand,PO,,
"00078037366",1010100185,263,Imatinib,IMATINIB MESYLATE,Single source brand,PO,,
"00078040105",1010100185,263,Imatinib,IMATINIB MESYLATE,Single source brand,PO,,
"00078040134",1010100185,263,Imatinib,IMATINIB MESYLATE,Single source brand,PO,,
"00078040215",1010100185,263,Imatinib,IMATINIB MESYLATE,Single source brand,PO,,
"00078043815",1010100185,263,Imatinib,IMATINIB MESYLATE,Single source brand,PO,,
"00078064930",1010100185,263,Imatinib,IMATINIB MESYLATE,Single source brand,PO,,
"54569584600",1010100185,263,Imatinib,IMATINIB MESYLATE,Single source brand,PO,,
"54868528900",1010100185,263,Imatinib,IMATINIB MESYLATE,Single source brand,PO,,
"54868528901",1010100185,263,Imatinib,IMATINIB MESYLATE,Single source brand,PO,,
"54868528902",1010100185,263,Imatinib,IMATINIB MESYLATE,Single source brand,PO,,
"54868528903",1010100185,263,Imatinib,IMATINIB MESYLATE,Single source brand,PO,,
"54868528904",1010100185,263,Imatinib,IMATINIB MESYLATE,Single source brand,PO,,
"54868542700",1010100185,263,Imatinib,IMATINIB MESYLATE,Single source brand,PO,,
"54868542701",1010100185,263,Imatinib,IMATINIB MESYLATE,Single source brand,PO,,
"54868542702",1010100185,263,Imatinib,IMATINIB MESYLATE,Single source brand,PO,,
"54868542703",1010100185,263,Imatinib,IMATINIB MESYLATE,Single source brand,PO,,
"62856071005",1010100215,263,Lenvatinib,Lenvatinib,Single source brand,PO,,
"62856071030",1010100215,263,Lenvatinib,Lenvatinib,Single source brand,PO,,
"62856072005",1010100215,263,Lenvatinib,Lenvatinib,Single source brand,PO,,
"62856072030",1010100215,263,Lenvatinib,Lenvatinib,Single source brand,PO,,
"62856071405",1010100215,263,Lenvatinib,Lenvatinib;Lenvatinib,Single source brand,PO,,
"62856071430",1010100215,263,Lenvatinib,Lenvatinib;Lenvatinib,Single source brand,PO,,
"62856072405",1010100215,263,Lenvatinib,Lenvatinib;Lenvatinib,Single source brand,PO,,
"62856072430",1010100215,263,Lenvatinib,Lenvatinib;Lenvatinib,Single source brand,PO,,
"00054026913",1006010120,262,Letrozole,LETROZOLE,Multisource generic,PO,,
"00078024915",1006010120,262,Letrozole,LETROZOLE,"Multisource brand, generic",PO,,
"00093762056",1006010120,262,Letrozole,LETROZOLE,Multisource generic,PO,,
"00378207105",1006010120,262,Letrozole,LETROZOLE,Multisource generic,PO,,
"00378207193",1006010120,262,Letrozole,LETROZOLE,Multisource generic,PO,,
"00603418016",1006010120,262,Letrozole,LETROZOLE,Multisource generic,PO,,
"16729003410",1006010120,262,Letrozole,LETROZOLE,Multisource generic,PO,,
"16729003415",1006010120,262,Letrozole,LETROZOLE,Multisource generic,PO,,
"35356040930",1006010120,262,Letrozole,LETROZOLE,"Multisource brand, generic",PO,,
"42254024330",1006010120,262,Letrozole,LETROZOLE,Multisource generic,PO,,
"42291037490",1006010120,262,Letrozole,LETROZOLE,Multisource generic,PO,,
"51991075910",1006010120,262,Letrozole,LETROZOLE,Multisource generic,PO,,
"51991075933",1006010120,262,Letrozole,LETROZOLE,Multisource generic,PO,,
"53217010830",1006010120,262,Letrozole,LETROZOLE,Multisource generic,PO,,
"54569571400",1006010120,262,Letrozole,LETROZOLE,"Multisource brand, generic",PO,,
"54868415100",1006010120,262,Letrozole,LETROZOLE,"Multisource brand, generic",PO,,
"54868625200",1006010120,262,Letrozole,LETROZOLE,Multisource generic,PO,,
"55111064630",1006010120,262,Letrozole,LETROZOLE,Multisource generic,PO,,
"60505325503",1006010120,262,Letrozole,LETROZOLE,Multisource generic,PO,,
"60505325508",1006010120,262,Letrozole,LETROZOLE,Multisource generic,PO,,
"62756051183",1006010120,262,Letrozole,LETROZOLE,Multisource generic,PO,,
"63323077230",1006010120,262,Letrozole,LETROZOLE,Multisource generic,PO,,
"68084080311",1006010120,262,Letrozole,LETROZOLE,Multisource generic,PO,,
"68084080321",1006010120,262,Letrozole,LETROZOLE,Multisource generic,PO,,
"68258595503",1006010120,262,Letrozole,LETROZOLE,Multisource generic,PO,,
"00015050842",1006010130,262,Megestrol Acetate,MEGESTROL ACETATE,"Multisource brand, generic",PO,,
"00015059501",1006010130,262,Megestrol Acetate,MEGESTROL ACETATE,"Multisource brand, generic",PO,,
"00015059641",1006010130,262,Megestrol Acetate,MEGESTROL ACETATE,"Multisource brand, generic",PO,,
"00015059645",1006010130,262,Megestrol Acetate,MEGESTROL ACETATE,"Multisource brand, generic",PO,,
"00015059646",1006010130,262,Megestrol Acetate,MEGESTROL ACETATE,"Multisource brand, generic",PO,,
"00047010824",1006010130,262,Megestrol Acetate,MEGESTROL ACETATE,Multisource generic,PO,,
"00054354258",1006010130,262,Megestrol Acetate,MEGESTROL ACETATE,Multisource generic,PO,,
"00054460325",1006010130,262,Megestrol Acetate,MEGESTROL ACETATE,Multisource generic,PO,,
"00054460425",1006010130,262,Megestrol Acetate,MEGESTROL ACETATE,Multisource generic,PO,,
"00054860325",1006010130,262,Megestrol Acetate,MEGESTROL ACETATE,Multisource generic,PO,,
"00054860425",1006010130,262,Megestrol Acetate,MEGESTROL ACETATE,Multisource generic,PO,,
"00093067401",1001013600,260,~Missing,MEGESTROL ACETATE,Multisource generic,PO,,
"00093513801",1006010130,262,Megestrol Acetate,MEGESTROL ACETATE,Multisource generic,PO,,
"00093963487",1006010130,262,Megestrol Acetate,MEGESTROL ACETATE,Multisource generic,PO,,
"00121477610",1006010130,262,Megestrol Acetate,MEGESTROL ACETATE,Multisource generic,PO,,
"00121477620",1006010130,262,Megestrol Acetate,MEGESTROL ACETATE,Multisource generic,PO,,
"00182186301",1006010130,262,Megestrol Acetate,MEGESTROL ACETATE,Multisource generic,PO,,
"00182186389",1006010130,262,Megestrol Acetate,MEGESTROL ACETATE,Multisource generic,PO,,
"00182186401",1006010130,262,Megestrol Acetate,MEGESTROL ACETATE,Multisource generic,PO,,
"00182186489",1006010130,262,Megestrol Acetate,MEGESTROL ACETATE,Multisource generic,PO,,
"00302396001",1006010130,262,Megestrol Acetate,MEGESTROL ACETATE,Multisource generic,PO,,
"00349876601",1006010130,262,Megestrol Acetate,MEGESTROL ACETATE,Multisource generic,PO,,
"00349876701",1006010130,262,Megestrol Acetate,MEGESTROL ACETATE,Multisource generic,PO,,
"00349876725",1006010130,262,Megestrol Acetate,MEGESTROL ACETATE,Multisource generic,PO,,
"00364223401",1006010130,262,Megestrol Acetate,MEGESTROL ACETATE,Multisource generic,PO,,
"00364223501",1006010130,262,Megestrol Acetate,MEGESTROL ACETATE,Multisource generic,PO,,
"00405462301",1006010130,262,Megestrol Acetate,MEGESTROL ACETATE,Multisource generic,PO,,
"00405462401",1006010130,262,Megestrol Acetate,MEGESTROL ACETATE,Multisource generic,PO,,
"00405462404",1006010130,262,Megestrol Acetate,MEGESTROL ACETATE,Multisource generic,PO,,
"00536482101",1006010130,262,Megestrol Acetate,MEGESTROL ACETATE,Multisource generic,PO,,
"00536482201",1006010130,262,Megestrol Acetate,MEGESTROL ACETATE,Multisource generic,PO,,
"00536482202",1006010130,262,Megestrol Acetate,MEGESTROL ACETATE,Multisource generic,PO,,
"00555060602",1006010130,262,Megestrol Acetate,MEGESTROL ACETATE,Multisource generic,PO,,
"00555060702",1006010130,262,Megestrol Acetate,MEGESTROL ACETATE,Multisource generic,PO,,
"00555060703",1006010130,262,Megestrol Acetate,MEGESTROL ACETATE,Multisource generic,PO,,
"00555060704",1006010130,262,Megestrol Acetate,MEGESTROL ACETATE,Multisource generic,PO,,
"00603439121",1006010130,262,Megestrol Acetate,MEGESTROL ACETATE,Multisource generic,PO,,
"00603439221",1006010130,262,Megestrol Acetate,MEGESTROL ACETATE,Multisource generic,PO,,
"00603439228",1006010130,262,Megestrol Acetate,MEGESTROL ACETATE,Multisource generic,PO,,
"00615357029",1006010130,262,Megestrol Acetate,MEGESTROL ACETATE,Multisource generic,PO,,
"00615357043",1006010130,262,Megestrol Acetate,MEGESTROL ACETATE,Multisource generic,PO,,
"00615357053",1006010130,262,Megestrol Acetate,MEGESTROL ACETATE,Multisource generic,PO,,
"00615357063",1006010130,262,Megestrol Acetate,MEGESTROL ACETATE,Multisource generic,PO,,
"00615357065",1006010130,262,Megestrol Acetate,MEGESTROL ACETATE,Multisource generic,PO,,
"00677120601",1006010130,262,Megestrol Acetate,MEGESTROL ACETATE,Multisource generic,PO,,
"00781156701",1006010130,262,Megestrol Acetate,MEGESTROL ACETATE,Multisource generic,PO,,
"00781156801",1006010130,262,Megestrol Acetate,MEGESTROL ACETATE,Multisource generic,PO,,
"00839740506",1006010130,262,Megestrol Acetate,MEGESTROL ACETATE,Multisource generic,PO,,
"00839740606",1006010130,262,Megestrol Acetate,MEGESTROL ACETATE,Multisource generic,PO,,
"00839740612",1006010130,262,Megestrol Acetate,MEGESTROL ACETATE,Multisource generic,PO,,
"00904357060",1006010130,262,Megestrol Acetate,MEGESTROL ACETATE,Multisource generic,PO,,
"00904357140",1006010130,262,Megestrol Acetate,MEGESTROL ACETATE,Multisource generic,PO,,
"00904357160",1006010130,262,Megestrol Acetate,MEGESTROL ACETATE,Multisource generic,PO,,
"00904357161",1006010130,262,Megestrol Acetate,MEGESTROL ACETATE,Multisource generic,PO,,
