"ProcedureName","ProcedureGroup","atg","acg","hcpcs","cpttitle"
"Abortion, induced","0010","SURG MAJOR","OB/GYN","59857","INDUCED ABORT 1/> VAG SUPPOS DLVR FETUS HYSTOT"
"Acne surgery","0015","SURG MINOR","DERMATOLOGY","10040","ACNE SURGERY"
"Actigraphy recording","0020","MEDIC DIAG","DIAG RAD","0089T","ACTIGRAPY TSTG REC A&I MINIMUM 3-D REC"
"Acupuncture","0025","MEDIC THER","MISC","97780","ACUPUNCTURE, 1+ NEEDLES; W/O ELECTRICAL STIMULATION"
"Acupuncture","0025","MEDIC THER","MISC","97781","ACUPUNCTURE, 1+ NEEDLES; W/ELECTRICAL STIMULATION"
"Acupuncture","0025","MEDIC THER","MISC","97810","ACUPUNCTURE 1/> NDLES W/O ELEC STIMJ INIT 15 MIN"
"Acupuncture","0025","MEDIC THER","MISC","97813","ACUPUNCTURE 1/> NDLS W/ELEC STIMJ 1ST 15 MIN"
"Acupuncture","0025","MEDIC THER","MISC","S8930","Auricular acupuncture electrical stim 15 min"
"Acupuncture - additional","0030","ADDITIONAL","MISC","97811","ACUPUNCTURE 1/> NDLS W/O ELEC STIMJ EA 15 MIN"
"Acupuncture - additional","0030","ADDITIONAL","MISC","97814","ACUP 1/> NDLS W/ELEC STIMJ EA 15 MIN W/RE-INSJ"
"Adjust gastric band","0035","SURG MINOR","GASTRO","S2083","Adjustment gastric band"
"Administration of epidural drug","0040","ANESTHESIA","PAIN MGMT","62280","INJX/INFUSION NEUROLYTIC SUBSTANCE SUBARACHNOID"
"Administration of epidural drug","0040","ANESTHESIA","PAIN MGMT","62281","INJX/INFUS NEUROLYT SUBST EPIDURAL CERV/THORACIC"
"Administration of epidural drug","0040","ANESTHESIA","PAIN MGMT","62282","INJX/INFUS NEUROLYT SBST EPIDURAL LUMBAR/SACRAL"
"Administration of epidural drug","0040","ANESTHESIA","PAIN MGMT","62367","ELECT ANLYS IMPLT ITHCL/EDRL PMP W/O REPRG/REFIL"
"Administration of epidural drug","0040","ANESTHESIA","PAIN MGMT","62368","ELECT ANALYS IMPLT ITHCL/EDRL PUMP W/REPRGRMG"
"Administration of epidural drug","0040","ANESTHESIA","PAIN MGMT","62369","ELECT ANLYS IMPLT ITHCL/EDRL PMP W/REPRG&REFIL"
"Administration of epidural drug","0040","ANESTHESIA","PAIN MGMT","62370","ELEC ANLYS IMPLT ITHCL/EDRL PMP W/REPR PHYS/QHP"
"Allergy immunotherapy","0045","MEDIC THER","ALLERGY","95115","PROF SVCS ALLG IMMNTX X W/PRV ALLGIC XTRCS 1 NJX"
"Allergy immunotherapy","0045","MEDIC THER","ALLERGY","95117","PROF SVCS ALLG IMMNTX X W/PRV ALLGIC XTRCS NJXS"
"Allergy immunotherapy","0045","MEDIC THER","ALLERGY","95120","PROF SVCS ALLG IMMNTX W/PRV ALLGIC XTRC 1 NJX"
"Allergy immunotherapy","0045","MEDIC THER","ALLERGY","95125","PROF SVCS ALLG IMMNTX W/PRV ALLGIC XTRC 2/> NJX"
"Allergy immunotherapy","0045","MEDIC THER","ALLERGY","95130","PROF SVCS ALLG IMMNTX W/PRV XTRC 1 STING INSECT"
"Allergy immunotherapy","0045","MEDIC THER","ALLERGY","95131","PROF SVCS ALLG IMMNTX W/PRV XTRC 2 STING INSECT"
"Allergy immunotherapy","0045","MEDIC THER","ALLERGY","95132","PROF SVCS ALLG IMMNTX W/PRV XTRC 3 STING INSECT"
"Allergy immunotherapy","0045","MEDIC THER","ALLERGY","95133","PROF SVCS ALLG IMMNTX W/PRV XTRC 4 STING INSECT"
"Allergy immunotherapy","0045","MEDIC THER","ALLERGY","95134","PROF SVCS ALLG IMMNTX W/PRV XTRC 5 STING INSECT"
"Allergy immunotherapy","0045","MEDIC THER","ALLERGY","95144","PREPJ& ANTIGEN PRV ALLERGEN IMMUNOTHERAPY 1 DO"
"Allergy immunotherapy","0045","MEDIC THER","ALLERGY","95145","PREPJ& ANTIGEN ALLERGEN IMMUNOTHERAPY 1 INSECT"
"Allergy immunotherapy","0045","MEDIC THER","ALLERGY","95146","PREPJ& ANTIGEN ALLERGEN IMMUNOTHERAPY 2 INSECT"
"Allergy immunotherapy","0045","MEDIC THER","ALLERGY","95147","PREPJ& ANTIGEN ALLERGEN IMMUNOTHERAPY 3 INSECT"
"Allergy immunotherapy","0045","MEDIC THER","ALLERGY","95148","PREPJ& ANTIGEN ALLERGEN IMMUNOTHERAPY 4 INSECT"
"Allergy immunotherapy","0045","MEDIC THER","ALLERGY","95149","PREPJ& ANTIGEN ALLERGEN IMMUNOTHERAPY 5 INSECT"
"Allergy immunotherapy","0045","MEDIC THER","ALLERGY","95165","PREPJ& ALLERGEN IMMUNOTHERAPY 1/MLT ANTIGEN"
"Allergy immunotherapy","0045","MEDIC THER","ALLERGY","95170","PREPJ& ANTIGEN ALLERGEN IMMUNOTHERAPY WHL INSE"
"Allergy immunotherapy","0045","MEDIC THER","ALLERGY","95180","RAPID DESENSITIZATION PROCEDURE EACH HOUR"
"Allergy immunotherapy","0045","MEDIC THER","ALLERGY","95199","UNLISTED ALLERGY/CLINICAL IMMUNOLOGIC SRVC/PX"
"Allergy testing","0050","MEDIC DIAG","ALLERGY","95004","PERCUTANEOUS TESTS W/ALLERGENIC EXTRACTS"
"Allergy testing","0050","MEDIC DIAG","ALLERGY","95010","PERQ TSTS SEQL&INCRL RX/BIOLOGIC/VNM IMMT RXN"
"Allergy testing","0050","MEDIC DIAG","ALLERGY","95015","IQ TSTS SEQL&INCRL RX/BIOLOGIC/VNM IMMT RXN"
"Allergy testing","0050","MEDIC DIAG","ALLERGY","95017","ALLG TSTG PERQ & IC VENOMS IMMED REACT W/I&R"
"Allergy testing","0050","MEDIC DIAG","ALLERGY","95018","ALLG TEST PERQ & IC DRUG/BIOL IMMED REACT W/I&R"
"Allergy testing","0050","MEDIC DIAG","ALLERGY","95024","INTRACUTANEOUS TESTS W/ALLERGENIC EXTRACTS"
"Allergy testing","0050","MEDIC DIAG","ALLERGY","95065","DIRECT NASAL MUCOUS MEMBRANE TEST"
"Allergy testing","0050","MEDIC DIAG","ALLERGY","95070","INHLJ BRNCL CHALLENGE TSTG W/HISTAM/METHACHOL"
"Allergy testing","0050","MEDIC DIAG","ALLERGY","95071","INHLJ BRNCL CHALLENGE TSTG W/AGS/GASES"
"Allergy testing","0050","MEDIC DIAG","ALLERGY","95075","INGESTION CHALLENGE TEST"
"Allergy testing","0050","MEDIC DIAG","ALLERGY","95076","INGESTION CHALLENGE TEST INITIAL 120 MINUTES"
"Allergy testing","0050","MEDIC DIAG","ALLERGY","95078","PROVOCATIVE TSTG"
"Allergy testing","0050","MEDIC DIAG","ALLERGY","95079","INGESTION CHALLENGE TEST EACH ADDL 60 MINUTES"
"Allergy testing, dermatology","0055","MEDIC DIAG","DERMATOLOGY","95044","PATCH/APPLICATION TEST SPECIFY NUMBER TESTS"
"Allergy testing, dermatology","0055","MEDIC DIAG","DERMATOLOGY","95052","PHOTO PATCH TEST SPECIFY NUMBER TSTS"
"Allergy testing, dermatology","0055","MEDIC DIAG","DERMATOLOGY","95056","PHOTO TESTS"
"Allergy testing, ophthalmology","0060","MEDIC DIAG","OPHTHAL","95060","OPHTHALMIC MUCOUS MEMBRANE TESTS"
"Allergy testing, otolaryngology","0065","MEDIC DIAG","OTOLARYNG","95027","INTRACUTANEOUS TESTS W/ALLERGENIC XTRCS AIRBORNE"
"Allergy testing, otolaryngology","0065","MEDIC DIAG","OTOLARYNG","95028","IC TSTS W/ALLGIC XTRCS DLYD TYP RXN W/READING"
"Ambulance","0070","AMBULANCE","AMBULANCE","A0021","Ambulance svc, outside state per mile, transport"
"Ambulance","0070","AMBULANCE","AMBULANCE","A0080","Nonemerg transport: per mile-VOL w/o interest"
"Ambulance","0070","AMBULANCE","AMBULANCE","A0090","Nonemergency transport: per mile-interested VOL"
"Ambulance","0070","AMBULANCE","AMBULANCE","A0100","Nonemergency transportation: taxi"
"Ambulance","0070","AMBULANCE","AMBULANCE","A0110","Nonemergency transport: bus, intra/inter state"
"Ambulance","0070","AMBULANCE","AMBULANCE","A0120","Nonemergency transport: minibus, oth transport"
"Ambulance","0070","AMBULANCE","AMBULANCE","A0130","Nonemergency transportation: wheelchair van"
"Ambulance","0070","AMBULANCE","AMBULANCE","A0140","Nonemergency transportation and air travel"
"Ambulance","0070","AMBULANCE","AMBULANCE","A0160","Nonemerg transport: per mile, case/social worker"
"Ambulance","0070","AMBULANCE","AMBULANCE","A0170","Transport ancillary: parking fee, tolls, other"
"Ambulance","0070","AMBULANCE","AMBULANCE","A0180","Nonemerg transport: ancillary: lodging-recipient"
"Ambulance","0070","AMBULANCE","AMBULANCE","A0190","Nonemerg transport: ancillary: meals-recipient"
"Ambulance","0070","AMBULANCE","AMBULANCE","A0200","Nonemerg transport: ancillary: lodging-escort"
"Ambulance","0070","AMBULANCE","AMBULANCE","A0210","Nonemergency transport: ancillary: meals-escort"
"Ambulance","0070","AMBULANCE","AMBULANCE","A0225","AMB svc, NN transport, base rate, emerg, 1 way"
"Ambulance","0070","AMBULANCE","AMBULANCE","A0380","BLS mileage (per mile)"
"Ambulance","0070","AMBULANCE","AMBULANCE","A0382","Basic life support routine disposable supplies"
"Ambulance","0070","AMBULANCE","AMBULANCE","A0384","BLS disposable supplies; defibrillation"
"Ambulance","0070","AMBULANCE","AMBULANCE","A0390","ALS mileage (per mile)"
"Ambulance","0070","AMBULANCE","AMBULANCE","A0392","ALS disposable supplies; defibrillation"
"Ambulance","0070","AMBULANCE","AMBULANCE","A0394","ALS disposable supplies; IV drug therapy"
"Ambulance","0070","AMBULANCE","AMBULANCE","A0396","ALS disposable supplies; esophageal intubation"
"Ambulance","0070","AMBULANCE","AMBULANCE","A0398","ALS routine disposable supplies"
"Ambulance","0070","AMBULANCE","AMBULANCE","A0420","Ambulance waiting time, 1/2 hour increments"
"Ambulance","0070","AMBULANCE","AMBULANCE","A0422","Ambulance O2/supplies, life sustaining situation"
"Ambulance","0070","AMBULANCE","AMBULANCE","A0424","Extra ambulance attendant, ground or air"
"Ambulance","0070","AMBULANCE","AMBULANCE","A0425","Ground mileage, per statute mile"
"Ambulance","0070","AMBULANCE","AMBULANCE","A0426","AMB svc, ALS, non-emergency transport, level 1"
"Ambulance","0070","AMBULANCE","AMBULANCE","A0427","AMB svc, ALS, emergency transport, level 1"
"Ambulance","0070","AMBULANCE","AMBULANCE","A0428","Ambulance service, BLS, non-emergency transport"
"Ambulance","0070","AMBULANCE","AMBULANCE","A0429","Ambulance service, basic life support, emergency"
"Ambulance","0070","AMBULANCE","AMBULANCE","A0430","AMB svc, conventional air, one way (fixed wing)"
"Ambulance","0070","AMBULANCE","AMBULANCE","A0431","AMB svc, conventional air, one way (rotary wing)"
"Ambulance","0070","AMBULANCE","AMBULANCE","A0432","Paramedic intercept, rural area, volunteer AMB"
"Ambulance","0070","AMBULANCE","AMBULANCE","A0433","Advanced life support, level 2 (ALS 2)"
"Ambulance","0070","AMBULANCE","AMBULANCE","A0434","Specialty care transport (SCT)"
"Ambulance","0070","AMBULANCE","AMBULANCE","A0435","Fixed wing air mileage, per statute mile"
"Ambulance","0070","AMBULANCE","AMBULANCE","A0436","Rotary wing air mileage, per statute mile"
"Ambulance","0070","AMBULANCE","AMBULANCE","A0800","AMB transport provided between hours of 7pm-7am"
"Ambulance","0070","AMBULANCE","AMBULANCE","A0888","Noncovered ambulance mileage, per mile"
"Ambulance","0070","AMBULANCE","AMBULANCE","A0998","Ambulance response and treatment, no transport"
"Ambulance","0070","AMBULANCE","AMBULANCE","A0999","Unlisted ambulance service"
"Ambulance","0070","AMBULANCE","AMBULANCE","Q3019","ALS emergency transport no ALS service"
"Ambulance","0070","AMBULANCE","AMBULANCE","Q3020","ALS nonemergency transport no ALS service"
"Ambulance","0070","AMBULANCE","AMBULANCE","S9960","AMB svc, conven air, nonER, one way (fixed wing)"
"Ambulance","0070","AMBULANCE","AMBULANCE","S9961","AMB svc, conven air, nonER one way (rotary wing)"
"Ambulatory blood pressure monitoring","0075","MEDIC DIAG","CARDIOLOGY","93784","AMBL BLD PRESS W/TAPE&/DISK 24/> HR ALYS I&R"
"Ambulatory blood pressure monitoring","0075","MEDIC DIAG","CARDIOLOGY","93786","BL BLD PRESS W/TAPE&/DISK 24/> HR REC ONL"
"Ambulatory blood pressure monitoring","0075","MEDIC DIAG","CARDIOLOGY","93788","AMBL BLD PRESS W/TAPE/DISK 24/>HR ALYS W/REPRT"
"Ambulatory blood pressure monitoring","0075","MEDIC DIAG","CARDIOLOGY","93790","AMBL BLD PRESS TAPE&/DISK 24/> HR REVIEW"
"Ambulatory cardiac event monitor","0080","MEDIC DIAG","CARDIOLOGY","S0345","Home ECG monitoring global per 24 hour period"
"Ambulatory cardiac event monitor","0080","MEDIC DIAG","CARDIOLOGY","S0346","Home ECG monitoring tech per 24 hour period"
"Ambulatory cardiac event monitor","0080","MEDIC DIAG","CARDIOLOGY","S0347","Home ECG monitoring prof per 24 hour period"
"Amniocentesis","0085","INVAS MINOR","OB/GYN","59000","AMNIOCENTESIS DIAGNOSIC"
"Amniocentesis","0085","INVAS MINOR","OB/GYN","59001","AMNIOCENTESIS THER AMNIOTIC FLUID RDCTJ US GUID"
"Amputation, leg","0090","INPATIENT","GEN SURG","27880","AMPUTATION LEG THROUGH TIBIA&FIBULA"
"Amputation, leg","0090","INPATIENT","GEN SURG","27881","AMP LEG THRU TIBFIB W/IMMT FITG TQ W/1ST CST"
"Amputation, leg","0090","INPATIENT","GEN SURG","27882","AMPUTATION LEG THRU TIBIA&FIBULA OPEN CIRCULAR"
"Amputation, thigh","0095","INPATIENT","GEN SURG","27590","AMPUTATION THIGH THROUGH FEMUR ANY LEVEL"
"Amputation, thigh","0095","INPATIENT","GEN SURG","27591","AMP THI THRU FEMUR LVL IMMT FITG TQ W/1ST CST"
"Amputation, thigh","0095","INPATIENT","GEN SURG","27592","AMPUTATION THIGH THRU FEMUR OPEN CIRCULAR"
"Amputation, thigh","0095","INPATIENT","GEN SURG","27598","DISARTICULATION KNEE"
"Amputation, toes","0100","SURG MAJOR","PODIATRY","28810","AMPUTATION METATARSAL W/TOE SINGLE"
"Amputation, toes","0100","SURG MAJOR","PODIATRY","28820","AMPUTATION TOE METATARSOPHALANGEAL JOINT"
"Amputation, toes","0100","SURG MAJOR","PODIATRY","28825","AMPUTATION TOE INTERPHALANGEAL JOINT"
"Analysis implanted neurostimulator periph","0105","MEDIC DIAG","UROLOGY","95971","ELEC ALYS NSTIM PLS GEN SMPL SC/PERPH W/PRGRMG"
"Analysis implanted neurostimulator periph","0105","MEDIC DIAG","UROLOGY","95972","ELEC ALYS NSTIM PLS GEN CPLX SC/PERPH 1ST HR"
"Analysis of implanted neurostimulator","0110","MEDIC DIAG","NEUROLOGY","0162T","ANALYSIS &PROGRAMMING GASTRIC NEUROSTIMULATOR"
"Analysis of implanted neurostimulator","0110","MEDIC DIAG","NEUROLOGY","0285T","ELEC ANLYS IMPLANT SUBQ FIELD STIM PG REPROGRAMM"
"Analysis of implanted neurostimulator","0110","MEDIC DIAG","NEUROLOGY","0317T","ELEC ALYS NSTIM PLS GEN VAGUS NRV W/REPRGRMG"
"Analysis of implanted neurostimulator","0110","MEDIC DIAG","NEUROLOGY","95970","ELEC ALYS NSTIM PLS GEN BRN/SC/PERPH W/O REPRGRM"
"Analysis of implanted neurostimulator","0110","MEDIC DIAG","NEUROLOGY","95973","ELEC ALYS NSTIM PLS GEN CPLX SC/PERPH EA 30 MIN"
"Analysis of implanted neurostimulator","0110","MEDIC DIAG","NEUROLOGY","95974","ELEC ALYS NSTIM PLS GEN CPLX CRNL NRV 1ST HR"
"Analysis of implanted neurostimulator","0110","MEDIC DIAG","NEUROLOGY","95975","ELEC ALYS NSTIM PLS GEN CPLX CRNL NRV EA 30 MIN"
"Analysis of implanted neurostimulator","0110","MEDIC DIAG","NEUROLOGY","95980","ELEC ALYS NSTIM PLS GEN GASTRIC INTRAOP W/PRGRMG"
"Analysis of implanted neurostimulator","0110","MEDIC DIAG","NEUROLOGY","95981","ELEC ALYS NSTIM GEN GASTRIC SBSQ W/O REPRGRMG"
"Analysis of implanted neurostimulator","0110","MEDIC DIAG","NEUROLOGY","95982","ELEC ALYS NSTIM PLS GEN GASTRIC SBSQ W/REPRGRMG"
"Analysis of pacing cardioverter-defibri","0115","MEDIC THER","CARDIOLOGY","93292","INTERROGATION EVAL IN PERSON WR DEFIBRILLATOR"
"Analysis of pacing cardioverter-defibri","0115","MEDIC THER","CARDIOLOGY","93295","INTERROGATION EVAL REMOTE </90 D 1/2/MLT LD DFB"
"Analysis of pacing cardioverter-defibri","0115","MEDIC THER","CARDIOLOGY","93741","ELEC ALYS PACG CVDFB 1CHMBR/WR SYS W/O REPRGRMG"
"Analysis of pacing cardioverter-defibri","0115","MEDIC THER","CARDIOLOGY","93742","ELEC ALYS PACG CVDFB 1CHMBR/WR SYS W/REPRGRMG"
"Analysis of pacing cardioverter-defibri","0115","MEDIC THER","CARDIOLOGY","93743","ELEC ALYS PACG CVDFB 2CHMBR W/O REPRGRMG"
"Analysis of pacing cardioverter-defibri","0115","MEDIC THER","CARDIOLOGY","93744","ELEC ALYS PACG CVDFB 2CHMBR W/REPRGRMG"
"Analysis of pacing cardioverter-defibri","0115","MEDIC THER","CARDIOLOGY","93745","1ST SET-UP & PRGRMG PHYS/QHP OF WEARABLE CVDFB"
"Analysis of pacing cardioverter-defibri","0115","MEDIC THER","CARDIOLOGY","93750","INTERROGATION VAD IN PRSON W/PHYS/QHP ANALYSIS"
"Anesthesia - bone marrow biopsy","0120","ANESTHESIA","ANESTHESIA","01112","ANES BONE MARROW ASPIR&/BX ANT/PST ILIAC CREST"
"Anesthesia - head","0125","ANESTHESIA","ANESTHESIA","00100","ANESTHESIA SALIVARY GLANDS WITH BIOPSY"
"Anesthesia - head","0125","ANESTHESIA","ANESTHESIA","00102","ANESTHESIA CLEFT LIP INVOLVING PLASTIC REPAIR"
"Anesthesia - head","0125","ANESTHESIA","ANESTHESIA","00103","ANESTHESIA EYELID RECONSTRUCTIVE PROCEDURE"
"Anesthesia - head","0125","ANESTHESIA","ANESTHESIA","00104","ANESTHESIA ELECTROCONVULSIVE THERAPY"
"Anesthesia - head","0125","ANESTHESIA","ANESTHESIA","00120","ANESTHESIA EXTERNAL MIDDLE & INNER EAR W/BX NOS"
"Anesthesia - head","0125","ANESTHESIA","ANESTHESIA","00124","ANES EXTERNAL MIDDLE & INNER EAR W/BX OTOSCOPY"
"Anesthesia - head","0125","ANESTHESIA","ANESTHESIA","00126","ANES XTRNL MID & INNER EAR W/BX TYMPANOTOMY"
"Anesthesia - head","0125","ANESTHESIA","ANESTHESIA","00140","ANESTHESIA EYE NOT OTHERWISE SPECIFIED"
"Anesthesia - head","0125","ANESTHESIA","ANESTHESIA","00142","ANESTHESIA EYE LENS SURGERY"
"Anesthesia - head","0125","ANESTHESIA","ANESTHESIA","00144","ANESTHESIA EYE CORNEAL TRANSPLANT"
"Anesthesia - head","0125","ANESTHESIA","ANESTHESIA","00145","ANESTHESIA EYE VITREORETINAL SURGERY"
"Anesthesia - head","0125","ANESTHESIA","ANESTHESIA","00147","ANESTHESIA EYE IRIDECTOMY"
"Anesthesia - head","0125","ANESTHESIA","ANESTHESIA","00148","ANESTHESIA EYE OPHTHALMOSCOPY"
"Anesthesia - head","0125","ANESTHESIA","ANESTHESIA","00160","ANESTHESIA NOSE & ACCESSORY SINUSES NOS"
"Anesthesia - head","0125","ANESTHESIA","ANESTHESIA","00162","ANES NOSE & ACCESSORY SINUSES RADICAL SURGERY"
"Anesthesia - head","0125","ANESTHESIA","ANESTHESIA","00164","ANES NOSE & ACCESSORY SINUSES BIOPSY SOFT TISSUE"
"Anesthesia - head","0125","ANESTHESIA","ANESTHESIA","00170","ANESTHESIA INTRAORAL WITH BIOPSY NOS"
"Anesthesia - head","0125","ANESTHESIA","ANESTHESIA","00172","ANES INTRAORAL W/BIOPSY REPAIR CLEFT PALATE"
"Anesthesia - head","0125","ANESTHESIA","ANESTHESIA","00174","ANES INTRAORAL W/BX EXC RETROPHARYNGEAL TUMOR"
"Anesthesia - head","0125","ANESTHESIA","ANESTHESIA","00176","ANESTHESIA INTRAORAL W/BIOPSY RADICAL SURGERY"
"Anesthesia - head","0125","ANESTHESIA","ANESTHESIA","00190","ANESTHESIA FACIAL BONES OR SKULL NOS"
"Anesthesia - head","0125","ANESTHESIA","ANESTHESIA","00192","ANES FACIAL BONES/SKULL RAD SURG W/PROGNATHISM"
"Anesthesia - head","0125","ANESTHESIA","ANESTHESIA","00210","ANESTHESIA INTRACRANIAL PROCEDURE NOS"
"Anesthesia - head","0125","ANESTHESIA","ANESTHESIA","00211","ANES INTRACRANIAL CRANIOTOMY/CRANIECTOMY HMTMA"
"Anesthesia - head","0125","ANESTHESIA","ANESTHESIA","00212","ANESTHESIA INTRACRANIAL PROCEDURE SUBDURAL TAPS"
"Anesthesia - head","0125","ANESTHESIA","ANESTHESIA","00214","ANES INTRACRANIAL BURR HOLES W/VENTRICULOGRAPHY"
"Anesthesia - head","0125","ANESTHESIA","ANESTHESIA","00215","ANES INTRACRANIAL/ELEVATION DEPRSD SKULL FX XDRL"
"Anesthesia - head","0125","ANESTHESIA","ANESTHESIA","00216","ANESTHESIA INTRACRANIAL VASCULAR PROCEDURE"
"Anesthesia - head","0125","ANESTHESIA","ANESTHESIA","00218","ANES INTRACRANIAL PROCEDURE IN SITTING POSITION"
"Anesthesia - head","0125","ANESTHESIA","ANESTHESIA","00220","ANES INTRACRANIAL CEREBROSPINAL FLUID SHUNTING"
"Anesthesia - head","0125","ANESTHESIA","ANESTHESIA","00222","ANES INTRACRANIAL ELECTROCOAGULATION ICRA NERVE"
"Anesthesia - heart","0130","ANESTHESIA","ANESTHESIA","00560","ANES HRT PERICARDIAL SAC& GRT VESLS W/O PMP OXT"
"Anesthesia - heart","0130","ANESTHESIA","ANESTHESIA","00561","ANES HRT PERICARD SAC&GREAT VSLS W/PMP OXTJ <1YR"
"Anesthesia - heart","0130","ANESTHESIA","ANESTHESIA","00562","ANES HRT PERICRD SAC&GRT VSLS W/PMP OXTJ >1MO PO"
"Anesthesia - heart","0130","ANESTHESIA","ANESTHESIA","00563","ANES HRT PRCRD SAC & GREAT VSL W/PUMP OXTJ HYPTH"
"Anesthesia - heart","0130","ANESTHESIA","ANESTHESIA","00566","ANES DIRECT CABG W/O PUMP OXYGENATOR"
"Anesthesia - heart","0130","ANESTHESIA","ANESTHESIA","00567","ANES DIRECT CABG W/PUMP OXYGENATOR"
"Anesthesia - heart","0130","ANESTHESIA","ANESTHESIA","00580","ANES HEART TRANSPLANT/HEART/LUNG TRANSPLANT"
"Anesthesia - intrathoracic","0135","ANESTHESIA","ANESTHESIA","00500","ANESTHESIA ESOPHAGUS"
"Anesthesia - intrathoracic","0135","ANESTHESIA","ANESTHESIA","00520","ANESTHESIA CLOSED CHEST W/BRONCHOSCOPY NOS"
"Anesthesia - intrathoracic","0135","ANESTHESIA","ANESTHESIA","00522","ANESTHESIA CLOSED CHEST NEEDLE BIOPSY PLEURA"
"Anesthesia - intrathoracic","0135","ANESTHESIA","ANESTHESIA","00524","ANESTHESIA CLOSED CHEST PNEUMOCENTESIS"
"Anesthesia - intrathoracic","0135","ANESTHESIA","ANESTHESIA","00528","ANES MEDIASTINOSCOPY&THORACSCOPY W/O 1 LUNG VNTJ"
"Anesthesia - intrathoracic","0135","ANESTHESIA","ANESTHESIA","00529","ANES MEDIASTINOSCOPY&THORACOSCOPY W/1 LUNG VNT"
"Anesthesia - intrathoracic","0135","ANESTHESIA","ANESTHESIA","00530","ANES PERMANENT TRANSVENOUS PACEMAKER INSERTION"
"Anesthesia - intrathoracic","0135","ANESTHESIA","ANESTHESIA","00532","ANESTHESIA ACCESS CENTRAL VENOUS CIRCULATION"
"Anesthesia - intrathoracic","0135","ANESTHESIA","ANESTHESIA","00534","ANES TRANSVENOUS INSJ/REPLACEMENT PACING CVDFB"
"Anesthesia - intrathoracic","0135","ANESTHESIA","ANESTHESIA","00537","ANES CARDIAC ELECTROPHYSIOL STDY W/RF ABLATION"
"Anesthesia - intrathoracic","0135","ANESTHESIA","ANESTHESIA","00539","ANESTHESIA TRACHEOBRONCHIAL RECONSTRUCTION"
"Anesthesia - intrathoracic","0135","ANESTHESIA","ANESTHESIA","00540","ANES THORACOTOMY & THORACOSCOPY NOS"
"Anesthesia - intrathoracic","0135","ANESTHESIA","ANESTHESIA","00541","ANES THORACOTOMY & THORACOSCOPY W/1 LUNG VNTJ"
"Anesthesia - intrathoracic","0135","ANESTHESIA","ANESTHESIA","00542","ANES THORACOTOMY & THORACOSCOPY DECORTICATION"
"Anesthesia - intrathoracic","0135","ANESTHESIA","ANESTHESIA","00544","ANESTH, CHEST LINING REMOVAL"
"Anesthesia - intrathoracic","0135","ANESTHESIA","ANESTHESIA","00546","ANES THORACOTOMY & THORACOSCOPY PULMONARY RESC"
"Anesthesia - intrathoracic","0135","ANESTHESIA","ANESTHESIA","00548","ANES THORACOTOMY &THORACSCOPY TRACHEA & BRONCHI"
"Anesthesia - intrathoracic","0135","ANESTHESIA","ANESTHESIA","00550","ANESTHESIA FOR STERNAL DEBRIDEMENT"
"Anesthesia - knee","0140","ANESTHESIA","ANESTHESIA","01320","ANES NERVE MUSC TENDON FASCIA&BURSA KNEE&/POPLT"
"Anesthesia - knee","0140","ANESTHESIA","ANESTHESIA","01340","ANESTHESIA CLOSED PROCEDURES LOWER 1/3 FEMUR"
"Anesthesia - knee","0140","ANESTHESIA","ANESTHESIA","01360","ANESTHESIA OPEN PROCEDURES LOWER 1/3 FEMUR"
