DxCat,DxCatDesc,PROCGRP,Procedure group,stage
HEM15,"Neoplasm, Malig. Hodgkins Disease Mixed Cellularity","0610",Bone marrow procedures,0
HEM16,"Neoplasm, Malig. Hodgkins Disease Nodular Sclerosis","0605",Bone marrow harvest,0
HEM16,"Neoplasm, Malig. Hodgkins Disease Nodular Sclerosis","0610",Bone marrow procedures,0
HEM17,"Neoplasm, Malignant: Hodgkins Lymphoma","0605",Bone marrow harvest,0
HEM17,"Neoplasm, Malignant: Hodgkins Lymphoma","0610",Bone marrow procedures,0
HEM18,"Neoplasm, Malignant: Leukemia, Acute Lymphocytic","0605",Bone marrow harvest,0
HEM18,"Neoplasm, Malignant: Leukemia, Acute Lymphocytic","0610",Bone marrow procedures,0
HEM19,"Neoplasm, Malignant: Leukemia, Acute Nonlymphocytic","0605",Bone marrow harvest,0
HEM19,"Neoplasm, Malignant: Leukemia, Acute Nonlymphocytic","0610",Bone marrow procedures,0
HEM20,"Neoplasm, Malignant: Leukemia, Chronic Lymphocytic","0605",Bone marrow harvest,0
HEM20,"Neoplasm, Malignant: Leukemia, Chronic Lymphocytic","0610",Bone marrow procedures,0
HEM21,"Neoplasm, Malignant: Leukemia, Chronic Myelogenous","0605",Bone marrow harvest,0
HEM21,"Neoplasm, Malignant: Leukemia, Chronic Myelogenous","0610",Bone marrow procedures,0
HEM22,"Neoplasm, Malig. Lymphoma, Cutan. T Cell (Mycosis Fungoides)","0605",Bone marrow harvest,0
HEM22,"Neoplasm, Malig. Lymphoma, Cutan. T Cell (Mycosis Fungoides)","0610",Bone marrow procedures,0
HEM23,"Neoplasm, Malignant: Lymphoma, Diffuse Large Cell","0605",Bone marrow harvest,0
HEM23,"Neoplasm, Malignant: Lymphoma, Diffuse Large Cell","0610",Bone marrow procedures,0
HEM24,"Neoplasm, Malig. Lymphoma, Diffuse Mixed Sm and Lg Cell","0605",Bone marrow harvest,0
HEM24,"Neoplasm, Malig. Lymphoma, Diffuse Mixed Sm and Lg Cell","0610",Bone marrow procedures,0
HEM25,"Neoplasm, Malignant: Lymphoma, Diffuse Small Cleaved Cell","0605",Bone marrow harvest,0
HEM25,"Neoplasm, Malignant: Lymphoma, Diffuse Small Cleaved Cell","0610",Bone marrow procedures,0
HEM26,"Neoplasm, Malig. Lymphoma, Follicular Sm Cleaved & Lg Cell","0605",Bone marrow harvest,0
HEM26,"Neoplasm, Malig. Lymphoma, Follicular Sm Cleaved & Lg Cell","0610",Bone marrow procedures,0
HEM27,"Neoplasm, Malig. Lymphoma, Follicular Predominantly Lg Cell","0605",Bone marrow harvest,0
HEM27,"Neoplasm, Malig. Lymphoma, Follicular Predominantly Lg Cell","0610",Bone marrow procedures,0
HEM28,"Neoplasm, Malig. Lymphoma, Follicular Predom Sm Cleaved Cell","0605",Bone marrow harvest,0
HEM28,"Neoplasm, Malig. Lymphoma, Follicular Predom Sm Cleaved Cell","0610",Bone marrow procedures,0
HEM29,"Neoplasm, Malignant: Lymphoma, Histiocytic Cell","0605",Bone marrow harvest,0
HEM29,"Neoplasm, Malignant: Lymphoma, Histiocytic Cell","0610",Bone marrow procedures,0
HEM30,"Neoplasm, Malignant: Lymphoma, Large Cell Immunoblastic","0605",Bone marrow harvest,0
HEM30,"Neoplasm, Malignant: Lymphoma, Large Cell Immunoblastic","0610",Bone marrow procedures,0
HEM31,"Neoplasm, Malignant: Lymphoma, Lymphoblastic","0605",Bone marrow harvest,0
HEM31,"Neoplasm, Malignant: Lymphoma, Lymphoblastic","0610",Bone marrow procedures,0
HEM32,"Neoplasm, Malignant: Lymphoma, Small Lymphocytic Cell","0605",Bone marrow harvest,0
HEM32,"Neoplasm, Malignant: Lymphoma, Small Lymphocytic Cell","0610",Bone marrow procedures,0
HEM33,"Neoplasm, Malig. Lymphoma, Sm Noncleaved Cell or Burkitts","0605",Bone marrow harvest,0
HEM33,"Neoplasm, Malig. Lymphoma, Sm Noncleaved Cell or Burkitts","0610",Bone marrow procedures,0
HEM34,"Neoplasm, Malignant: Multiple Myeloma","0605",Bone marrow harvest,0
HEM34,"Neoplasm, Malignant: Multiple Myeloma","0610",Bone marrow procedures,0
HEM35,"Neoplasm, Malignant: Waldenstroms Macroglobulinemia","0605",Bone marrow harvest,0
HEM35,"Neoplasm, Malignant: Waldenstroms Macroglobulinemia","0610",Bone marrow procedures,0
HEM37,"Neoplasm, Malignant: Lymphoma, Other Types","0605",Bone marrow harvest,0
HEM37,"Neoplasm, Malignant: Lymphoma, Other Types","0610",Bone marrow procedures,0
HEM82,"Neoplasm, Malignant: Leukemia, Other Types","0605",Bone marrow harvest,0
HEM82,"Neoplasm, Malignant: Leukemia, Other Types","0610",Bone marrow procedures,0
HEM83,"Neoplasm, Malig. Lymphatic and Hematopoietic, Other Types","0605",Bone marrow harvest,0
HEM83,"Neoplasm, Malig. Lymphatic and Hematopoietic, Other Types","0610",Bone marrow procedures,0
HEP11,"Neoplasm, Malignant: Pancreas","1475",Excision abdominal tumor,0
HEP11,"Neoplasm, Malignant: Pancreas","1875","Infusion pump, insert/remvove/revise",0
HEP11,"Neoplasm, Malignant: Pancreas","3185",Other liver procedure,0
HEP11,"Neoplasm, Malignant: Pancreas","3350",Other pancreatic procedure,0
HEP11,"Neoplasm, Malignant: Pancreas","3705",Pancreatectomy,0
HEP82,"Neoplasm, Malignant: Other Hepatobiliary Tract","1010","Cholecystectomy, open",0
HEP82,"Neoplasm, Malignant: Other Hepatobiliary Tract","1475",Excision abdominal tumor,0
HEP82,"Neoplasm, Malignant: Other Hepatobiliary Tract","1875","Infusion pump, insert/remvove/revise",0
HEP82,"Neoplasm, Malignant: Other Hepatobiliary Tract","2430","Laparoscopy, surgical, other",0
HEP82,"Neoplasm, Malignant: Other Hepatobiliary Tract","3060",Other biliary tract procedure,0
HEP82,"Neoplasm, Malignant: Other Hepatobiliary Tract","3185",Other liver procedure,0
HEP82,"Neoplasm, Malignant: Other Hepatobiliary Tract","3705",Pancreatectomy,0
MGS06,"Neoplasm, Malignant: Prostate","2390","Laparoscopy, surgical, bladder",0
MGS06,"Neoplasm, Malignant: Prostate","2450","Laparoscopy, surgical, urogenital",0
MGS06,"Neoplasm, Malignant: Prostate","2615","Male genital surgery, complex",0
MGS06,"Neoplasm, Malignant: Prostate","3205",Other male genital procedures,0
MGS06,"Neoplasm, Malignant: Prostate","3930",Prostatectomy,0
MGS06,"Neoplasm, Malignant: Prostate","4640",Transurethral surgery,0
MGS06,"Neoplasm, Malignant: Prostate","Q2043",Sipuleucel-T ,0
MGS07,"Neoplasm, Malignant: Testicular","2615","Male genital surgery, complex",0
MGS07,"Neoplasm, Malignant: Testicular","3205",Other male genital procedures,0
MGS07,"Neoplasm, Malignant: Testicular","3930",Prostatectomy,0
RES13,"Neoplasm, Malignant: Lungs, Bronchi, or Mediastinum","1100",Craniectomy or craniotomy,0
RES13,"Neoplasm, Malignant: Lungs, Bronchi, or Mediastinum","2510",Lobectomy,0
RES13,"Neoplasm, Malignant: Lungs, Bronchi, or Mediastinum","3465","Other surg major, pulmonary",0
RES13,"Neoplasm, Malignant: Lungs, Bronchi, or Mediastinum","3810",Photodynamic therapy,0
RES13,"Neoplasm, Malignant: Lungs, Bronchi, or Mediastinum","4490",Thoracoscopy/surgery,0
SKN08,"Neoplasm, Malignant: Melanoma","1100",Craniectomy or craniotomy,0
SKN08,"Neoplasm, Malignant: Melanoma","1525","Excision, malignant skin lesions",0
SKN08,"Neoplasm, Malignant: Melanoma","2485","Lesion destruction, malignant",0
SKN08,"Neoplasm, Malignant: Melanoma","2720",Mohs surgery,0
MUS33,"Neoplasm, Malignant: Primary Bone","1500","Excision tumor, bone",0
